Norilsk;772;Boeing 770
krasnoyrarsk;879;Boeing770
london;397;Boeing770
tokyo;958;Boeing707
astana;496;A320
rostov-on-Don;803;Boeing770
kerch;810;Boeing770
Vladivostok;452;Boeing770
berlin;838;SukhoiSuperJet
moscow;858;Boeing707
toronto;582;Boeing770
artem;133;SukhoiSuperJet
rostov-on-Don;686;Boeing707
Saint-Peterburg;709;Boeing707
tokyo;581;Boeing770
london;907;Boeing770
